Date,Open,High,Low,Close,Adj Close,Volume,SMA_Short,SMA_Long,Signal,Position,Cash,Stock_Value,Portfolio_Value
2023-01-03,130.27999877929688,130.89999389648438,124.16999816894533,125.06999969482422,123.09601593017578,112117500,,,0.0,0,1000.0,0.0,1000.0
2023-01-04,126.88999938964844,128.66000366210938,125.08000183105467,126.36000061035156,124.36565399169922,89113600,,,0.0,0,1000.0,0.0,1000.0
2023-01-05,127.12999725341795,127.7699966430664,124.76000213623048,125.0199966430664,123.04679870605467,80962700,,,0.0,0,1000.0,0.0,1000.0
2023-01-06,126.01000213623048,130.2899932861328,124.88999938964844,129.6199951171875,127.57422637939452,87754700,,,0.0,0,1000.0,0.0,1000.0
2023-01-09,130.47000122070312,133.41000366210938,129.88999938964844,130.14999389648438,128.0958251953125,70790800,,,0.0,0,1000.0,0.0,1000.0
2023-01-10,130.25999450683594,131.25999450683594,128.1199951171875,130.72999572753906,128.66668701171875,63896200,,,0.0,0,1000.0,0.0,1000.0
2023-01-11,131.25,133.50999450683594,130.4600067138672,133.49000549316406,131.38314819335938,69458900,,,0.0,0,1000.0,0.0,1000.0
2023-01-12,133.8800048828125,134.25999450683594,131.44000244140625,133.41000366210938,131.30438232421875,71379600,,,0.0,0,1000.0,0.0,1000.0
2023-01-13,132.02999877929688,134.9199981689453,131.66000366210938,134.75999450683594,132.63307189941406,57809700,,,0.0,0,1000.0,0.0,1000.0
2023-01-17,134.8300018310547,137.2899932861328,134.1300048828125,135.94000244140625,133.79446411132812,63646600,,,0.0,0,1000.0,0.0,1000.0
2023-01-18,136.82000732421875,138.61000061035156,135.02999877929688,135.2100067138672,133.0759735107422,69672800,,,0.0,0,1000.0,0.0,1000.0
2023-01-19,134.0800018310547,136.25,133.77000427246094,135.27000427246094,133.13504028320312,58280400,,,0.0,0,1000.0,0.0,1000.0
2023-01-20,135.27999877929688,138.02000427246094,134.22000122070312,137.8699951171875,135.69398498535156,80223600,,,0.0,0,1000.0,0.0,1000.0
2023-01-23,138.1199951171875,143.32000732421875,137.89999389648438,141.11000061035156,138.88287353515625,81760300,,,0.0,0,1000.0,0.0,1000.0
2023-01-24,140.30999755859375,143.16000366210938,140.3000030517578,142.52999877929688,140.2804412841797,66435100,,,0.0,0,1000.0,0.0,1000.0
2023-01-25,140.88999938964844,142.42999267578125,138.80999755859375,141.86000061035156,139.62100219726562,65799300,,,0.0,0,1000.0,0.0,1000.0
2023-01-26,143.1699981689453,144.25,141.89999389648438,143.9600067138672,141.68789672851562,54105100,,,0.0,0,1000.0,0.0,1000.0
2023-01-27,143.16000366210938,147.22999572753906,143.0800018310547,145.92999267578125,143.6267852783203,70555800,,,0.0,0,1000.0,0.0,1000.0
2023-01-30,144.9600067138672,145.5500030517578,142.85000610351562,143.0,140.7430419921875,64015300,,,0.0,0,1000.0,0.0,1000.0
2023-01-31,142.6999969482422,144.33999633789062,142.27999877929688,144.2899932861328,142.0126953125,65874500,135.77899932861328,,0.0,0,1000.0,0.0,1000.0
2023-02-01,143.97000122070312,146.61000061035156,141.32000732421875,145.42999267578125,143.13467407226562,77663600,136.79699897766113,,0.0,0,1000.0,0.0,1000.0
2023-02-02,148.89999389648438,151.17999267578125,148.1699981689453,150.82000732421875,148.4396209716797,118339000,138.0199993133545,,0.0,0,1000.0,0.0,1000.0
2023-02-03,148.02999877929688,157.3800048828125,147.8300018310547,154.5,152.0615234375,154357300,139.49399948120117,,0.0,0,1000.0,0.0,1000.0
2023-02-06,152.57000732421875,153.10000610351562,150.77999877929688,151.72999572753906,149.33523559570312,69858300,140.59949951171876,,0.0,0,1000.0,0.0,1000.0
2023-02-07,150.63999938964844,155.22999572753906,150.63999938964844,154.64999389648438,152.2091522216797,83322600,141.82449951171876,,0.0,0,1000.0,0.0,1000.0
2023-02-08,153.8800048828125,154.5800018310547,151.1699981689453,151.9199981689453,149.52223205566406,64120100,142.88399963378907,,0.0,0,1000.0,0.0,1000.0
2023-02-09,153.77999877929688,154.3300018310547,150.4199981689453,150.8699951171875,148.4888153076172,56007100,143.75299911499025,,0.0,0,1000.0,0.0,1000.0
