Date,Open,High,Low,Close,Adj Close,Volume,SMA_Short,SMA_Long,Signal,Position,Cash,Stock_Value,Portfolio_Value
2023-01-03,243.0800018310547,245.75,237.3999938964844,239.5800018310547,233.98562622070312,25740000,,,0.0,0,1000.0,0.0,1000.0
2023-01-04,232.27999877929688,232.8699951171875,225.9600067138672,229.1000061035156,223.75038146972656,50623400,,,0.0,0,1000.0,0.0,1000.0
2023-01-05,227.1999969482422,227.5500030517578,221.75999450683597,222.30999755859372,217.1189117431641,39585600,,,0.0,0,1000.0,0.0,1000.0
2023-01-06,223.0,225.75999450683597,219.3500061035156,224.92999267578125,219.67770385742188,43613600,,,0.0,0,1000.0,0.0,1000.0
2023-01-09,226.4499969482422,231.2400054931641,226.41000366210935,227.1199951171875,221.8165740966797,27369800,,,0.0,0,1000.0,0.0,1000.0
2023-01-10,227.75999450683597,231.30999755859372,227.3300018310547,228.8500061035156,223.50621032714844,27033900,,,0.0,0,1000.0,0.0,1000.0
2023-01-11,231.2899932861328,235.9499969482422,231.1100006103516,235.7700042724609,230.2646331787109,28669300,,,0.0,0,1000.0,0.0,1000.0
2023-01-12,235.25999450683597,239.8999938964844,233.55999755859372,238.50999450683597,232.9406280517578,27269500,,,0.0,0,1000.0,0.0,1000.0
2023-01-13,237.0,239.3699951171875,234.9199981689453,239.22999572753903,233.6438446044922,21333300,,,0.0,0,1000.0,0.0,1000.0
2023-01-17,237.97000122070312,240.91000366210935,237.08999633789065,240.3500061035156,234.73768615722656,29831300,,,0.0,0,1000.0,0.0,1000.0
2023-01-18,241.57000732421875,242.3800048828125,235.5200042724609,235.80999755859372,230.3036651611328,30028700,,,0.0,0,1000.0,0.0,1000.0
2023-01-19,233.77999877929688,235.5200042724609,230.67999267578125,231.92999267578125,226.51426696777344,28623000,,,0.0,0,1000.0,0.0,1000.0
2023-01-20,234.8600006103516,240.7400054931641,234.50999450683597,240.22000122070312,234.61070251464844,35389800,,,0.0,0,1000.0,0.0,1000.0
2023-01-23,241.1000061035156,245.1699981689453,239.6499938964844,242.5800018310547,236.91558837890625,31934000,,,0.0,0,1000.0,0.0,1000.0
2023-01-24,242.5,243.9499969482422,240.44000244140625,242.0399932861328,236.38818359375,40234400,,,0.0,0,1000.0,0.0,1000.0
2023-01-25,234.47999572753903,243.3000030517578,230.8999938964844,240.6100006103516,234.9915771484375,66526600,,,0.0,0,1000.0,0.0,1000.0
2023-01-26,243.6499938964844,248.30999755859372,242.0,248.0,242.2090606689453,33454500,,,0.0,0,1000.0,0.0,1000.0
2023-01-27,248.9900054931641,249.8300018310547,246.8300018310547,248.16000366210935,242.36529541015625,26498900,,,0.0,0,1000.0,0.0,1000.0
2023-01-30,244.50999450683597,245.6000061035156,242.1999969482422,242.7100067138672,237.0425720214844,25867400,,,0.0,0,1000.0,0.0,1000.0
2023-01-31,243.4499969482422,247.9499969482422,242.9499969482422,247.80999755859372,242.0234832763672,26541100,237.28099975585937,,0.0,0,1000.0,0.0,1000.0
2023-02-01,248.0,255.17999267578125,245.47000122070312,252.75,246.84808349609372,31259900,237.93949966430665,,0.0,0,1000.0,0.0,1000.0
2023-02-02,258.82000732421875,264.69000244140625,257.25,264.6000061035156,258.42138671875,39940400,239.71449966430663,,0.0,0,1000.0,0.0,1000.0
2023-02-03,259.5400085449219,264.20001220703125,257.1000061035156,258.3500061035156,252.31735229492188,29077300,241.51650009155273,,0.0,0,1000.0,0.0,1000.0
2023-02-06,257.44000244140625,258.29998779296875,254.77999877929688,256.7699890136719,250.7742462158203,22518000,243.10849990844727,,0.0,0,1000.0,0.0,1000.0
2023-02-07,260.5299987792969,268.7699890136719,260.0799865722656,267.5599975585937,261.3122863769531,50841400,245.13050003051757,,0.0,0,1000.0,0.0,1000.0
2023-02-08,273.20001220703125,276.760009765625,266.2099914550781,266.7300109863281,260.50164794921875,54686000,247.0245002746582,,0.0,0,1000.0,0.0,1000.0
2023-02-09,273.79998779296875,273.9800109863281,262.79998779296875,263.6199951171875,257.4643249511719,42375100,248.41699981689453,,0.0,0,1000.0,0.0,1000.0
2023-02-10,261.5299987792969,264.0899963378906,260.6600036621094,263.1000061035156,256.9564208984375,25818500,249.64650039672853,,0.0,0,1000.0,0.0,1000.0
2023-02-13,267.6400146484375,274.6000061035156,267.1499938964844,271.32000732421875,264.9845275878906,44630900,251.2510009765625,,0.0,0,1000.0,0.0,1000.0
2023-02-14,272.6700134277344,274.9700012207031,269.2799987792969,272.1700134277344,265.8147277832031,37047900,252.84200134277344,,0.0,0,1000.0,0.0,1000.0
2023-02-15,268.32000732421875,270.7300109863281,266.17999267578125,269.32000732421875,263.69000244140625,28922400,254.5175018310547,,0.0,0,1000.0,0.0,1000.0
2023-02-16,264.0199890136719,266.739990234375,261.8999938964844,262.1499938964844,256.6699523925781,29603600,256.0285018920898,,0.0,0,1000.0,0.0,1000.0
2023-02-17,259.3900146484375,260.0899963378906,256.0,258.0599975585937,252.6654052734375,30000100,256.9205017089844,,0.0,0,1000.0,0.0,1000.0
2023-02-21,254.47999572753903,255.4900054931641,251.58999633789065,252.6699981689453,247.3880615234375,28397400,257.4250015258789,,0.0,0,1000.0,0.0,1000.0
2023-02-22,254.08999633789065,254.33999633789065,250.33999633789065,251.50999450683597,246.25233459472656,22491100,257.89850158691405,,0.0,0,1000.0,0.0,1000.0
2023-02-23,255.55999755859372,256.8399963378906,250.47999572753903,254.7700042724609,249.4441680908203,29219100,258.6065017700195,,0.0,0,1000.0,0.0,1000.0
2023-02-24,249.9600067138672,251.0,248.1000061035156,249.22000122070312,244.0101776123047,24990900,258.66750183105466,,0.0,0,1000.0,0.0,1000.0
2023-02-27,252.4600067138672,252.82000732421875,249.38999938964844,250.16000366210935,244.9305419921875,21190000,258.7675018310547,,0.0,0,1000.0,0.0,1000.0
2023-02-28,249.07000732421875,251.4900054931641,248.72999572753903,249.4199981689453,244.2059783935547,22491000,259.1030014038086,,0.0,0,1000.0,0.0,1000.0
2023-03-01,250.75999450683597,250.92999267578125,245.7899932861328,246.2700042724609,241.12185668945312,27565300,259.02600173950196,,0.0,0,1000.0,0.0,1000.0
2023-03-02,246.5500030517578,251.3999938964844,245.6100006103516,251.1100006103516,245.8606719970703,24808200,258.94400177001955,,0.0,0,1000.0,0.0,1000.0
2023-03-03,252.19000244140625,255.6199951171875,251.38999938964844,255.2899932861328,249.9532928466797,30760100,258.4785011291504,,0.0,0,1000.0,0.0,1000.0
2023-03-06,256.42999267578125,260.1199951171875,255.97999572753903,256.8699951171875,251.5002593994141,24109800,258.404500579834,,0.0,0,1000.0,0.0,1000.0
2023-03-07,256.29998779296875,257.69000244140625,253.38999938964844,254.1499938964844,248.83712768554688,21473200,258.2735008239746,,0.0,0,1000.0,0.0,1000.0
2023-03-08,254.0399932861328,254.5399932861328,250.80999755859372,253.6999969482422,248.39651489257807,17340200,257.580500793457,,0.0,0,1000.0,0.0,1000.0
2023-03-09,255.82000732421875,259.5599975585937,251.5800018310547,252.32000732421875,247.0453643798828,26653400,256.86000061035156,,0.0,0,1000.0,0.0,1000.0
2023-03-10,251.0800018310547,252.7899932861328,247.6000061035156,248.58999633789065,243.39337158203125,28333900,256.1085006713867,,0.0,0,1000.0,0.0,1000.0
2023-03-13,247.3999938964844,257.9100036621094,245.72999572753903,253.9199981689453,248.6119537353516,33339700,255.6495002746582,,0.0,0,1000.0,0.0,1000.0
2023-03-14,256.75,261.07000732421875,255.8600006103516,260.7900085449219,255.33834838867188,33620300,255.12300033569335,,0.0,0,1000.0,0.0,1000.0
2023-03-15,259.9800109863281,266.4800109863281,259.2099914550781,265.44000244140625,259.89111328125,46028000,254.78649978637696,249.56640045166014,1.0,1,0.0,1000.0,1000.0
2023-03-16,265.2099914550781,276.5599975585937,263.2799987792969,276.20001220703125,270.4262084960937,54768800,255.13050003051757,250.29880065917968,0.0,1,0.0,1040.536504169149,1040.536504169149
2023-03-17,278.260009765625,283.3299865722656,276.32000732421875,279.42999267578125,273.588623046875,69527400,255.99449996948243,251.305400390625,0.0,1,0.0,1052.7049054615013,1052.7049054615013
2023-03-20,276.9800109863281,277.4800109863281,269.8500061035156,272.2300109863281,266.5392150878906,43466600,256.70300064086916,252.3038006591797,0.0,1,0.0,1025.5802007326333,1025.5802007326333
2023-03-21,274.8800048828125,275.0,269.5199890136719,273.7799987792969,268.0567932128906,34558700,257.75850067138674,253.28080078125,0.0,1,0.0,1031.4195157518943,1031.4195157518943
2023-03-22,273.3999938964844,281.0400085449219,272.17999267578125,272.2900085449219,266.59783935546875,34873300,258.797501373291,254.1842010498047,0.0,1,0.0,1025.806231315974,1025.806231315974
2023-03-23,277.94000244140625,281.0599975585937,275.20001220703125,277.6600036621094,271.8556823730469,36610900,259.94200134277344,255.16040100097655,0.0,1,0.0,1046.0367733133992,1046.0367733133992
2023-03-24,277.239990234375,280.6300048828125,275.2799987792969,280.57000732421875,274.7048034667969,28172000,261.5095016479492,256.05640106201173,0.0,1,0.0,1056.9997164845277,1056.9997164845277
2023-03-27,280.5,281.4599914550781,275.5199890136719,276.3800048828125,270.6024169921875,26840200,262.82050170898435,256.81380126953127,0.0,1,0.0,1041.2145959191707,1041.2145959191707
2023-03-28,275.7900085449219,276.1400146484375,272.04998779296875,275.2300109863281,269.4764709472656,21878600,264.1110023498535,257.533801574707,0.0,1,0.0,1036.8821897787727,1036.8821897787727
2023-03-29,278.9599914550781,281.1400146484375,278.4100036621094,280.510009765625,274.6460876464844,25087000,265.82300262451173,258.3370016479492,0.0,1,0.0,1056.773685901187,1056.773685901187
2023-03-30,284.2300109863281,284.4599914550781,281.4800109863281,284.04998779296875,278.1120910644531,25053400,267.4700019836426,259.3018014526367,0.0,1,0.0,1070.1099501973915,1070.1099501973915
2023-03-31,283.7300109863281,289.2699890136719,283.0,288.29998779296875,282.2732238769531,32766000,269.12050170898436,260.4292013549805,0.0,1,0.0,1086.121101346089,1086.121101346089
2023-04-03,286.5199890136719,288.2699890136719,283.95001220703125,287.2300109863281,281.2255859375,24883300,270.6385025024414,261.369401550293,0.0,1,0.0,1082.0901459633305,1082.0901459633305
2023-04-04,287.2300109863281,290.45001220703125,285.6700134277344,287.17999267578125,281.1766052246094,25824300,272.2900024414063,262.2614013671875,0.0,1,0.0,1081.9017104973616,1081.9017104973616
2023-04-05,285.8500061035156,287.1499938964844,282.9200134277344,284.3399963378906,278.3960266113281,22064800,273.8220024108887,263.10740142822266,0.0,1,0.0,1071.202507996723,1071.202507996723
2023-04-06,283.2099914550781,292.0799865722656,282.0299987792969,291.6000061035156,285.5043029785156,29770300,275.7860023498535,264.12720153808596,0.0,1,0.0,1098.5533582787093,1098.5533582787093
2023-04-10,289.2099914550781,289.6000061035156,284.7099914550781,289.3900146484375,283.3404541015625,23103000,277.82600326538085,264.9550018310547,0.0,1,0.0,1090.2275918729242,1090.2275918729242
2023-04-11,285.75,285.9800109863281,281.6400146484375,282.8299865722656,276.9175720214844,27276600,279.27150268554686,265.6484014892578,0.0,1,0.0,1065.5138033865037,1065.5138033865037
2023-04-12,284.7900085449219,287.010009765625,281.9599914550781,283.489990234375,277.56378173828125,27403400,280.40650177001953,266.464001159668,0.0,1,0.0,1068.0002547730278,1068.0002547730278
2023-04-13,283.5899963378906,289.8999938964844,283.1700134277344,289.8399963378906,283.78106689453125,24222700,281.6265014648437,267.3046011352539,0.0,1,0.0,1091.9228212479786,1091.9228212479786
2023-04-14,287.0,288.4800109863281,283.69000244140625,286.1400146484375,280.1584167480469,20987900,282.1235015869141,267.97240142822267,0.0,1,0.0,1077.9837704062734,1077.9837704062734
2023-04-17,289.92999267578125,291.6000061035156,286.1600036621094,288.79998779296875,282.7628173828125,23836200,282.5920013427734,268.4564010620117,0.0,1,0.0,1088.0047661871124,1088.0047661871124
2023-04-18,291.57000732421875,291.760009765625,287.010009765625,288.3699951171875,282.341796875,20161800,283.3990005493164,269.05680084228516,0.0,1,0.0,1086.3848420165791,1086.3848420165791
2023-04-19,285.989990234375,289.04998779296875,284.5400085449219,288.45001220703125,282.42010498046875,17150300,284.13250122070315,269.69040130615235,0.0,1,0.0,1086.6862927742184,1086.6862927742184
2023-04-20,285.25,289.0299987792969,285.0799865722656,286.1099853515625,280.1289978027344,23244400,284.82350006103513,270.0614010620117,0.0,1,0.0,1077.870640144825,1077.870640144825
2023-04-21,285.010009765625,286.2699890136719,283.0599975585937,285.760009765625,279.7863464355469,21676400,285.22850036621094,270.44200103759766,0.0,1,0.0,1076.552166731931,1076.552166731931
2023-04-24,282.0899963378906,284.95001220703125,278.7200012207031,281.7699890136719,275.8797607421875,26611000,285.2884994506836,270.80500091552733,0.0,1,0.0,1061.5204431211166,1061.5204431211166
2023-04-25,279.510009765625,281.6000061035156,275.3699951171875,275.4200134277344,269.6625366210937,45772200,285.24049987792966,271.05140106201173,0.0,1,0.0,1037.5979916159438,1037.5979916159438
2023-04-26,296.70001220703125,299.57000732421875,292.7300109863281,295.3699951171875,289.1954650878906,64599200,286.2474990844727,271.5324008178711,0.0,1,0.0,1112.7561497909044,1112.7561497909044
2023-04-27,295.9700012207031,305.20001220703125,295.25,304.8299865722656,298.4576721191406,46462600,287.4634979248047,272.1856002807617,0.0,1,0.0,1148.3950563915264,1148.3950563915264
2023-04-28,304.010009765625,308.92999267578125,303.3099975585937,307.260009765625,300.8369140625,36469600,288.6239990234375,272.9444003295898,0.0,1,0.0,1157.5497548959304,1157.5497548959304
2023-05-01,306.9700012207031,308.6000061035156,305.1499938964844,305.5599975585937,299.17242431640625,21294100,289.48699951171875,273.812600402832,0.0,1,0.0,1151.14524844854,1151.14524844854
2023-05-02,307.760009765625,309.17999267578125,303.9100036621094,305.4100036621094,299.0256042480469,26404400,290.3959991455078,274.75960052490234,0.0,1,0.0,1150.580171990189,1150.580171990189
2023-05-03,306.6199951171875,308.6099853515625,304.0899963378906,304.3999938964844,298.03668212890625,22360800,291.25699920654296,275.7942004394531,0.0,1,0.0,1146.775132220993,1146.775132220993
2023-05-04,306.239990234375,307.760009765625,303.3999938964844,305.4100036621094,299.0256042480469,22519900,292.3104995727539,276.8722006225586,0.0,1,0.0,1150.580171990189,1150.580171990189
2023-05-05,305.7200012207031,311.9700012207031,304.2699890136719,310.6499938964844,304.1560363769531,28197100,293.2629989624023,277.98980041503904,0.0,1,0.0,1170.3209427337836,1170.3209427337836
2023-05-08,310.1300048828125,310.20001220703125,306.0899963378906,308.6499938964844,302.1977844238281,21318600,294.2259979248047,279.1784002685547,0.0,1,0.0,1162.7862833696906,1162.7862833696906
2023-05-09,308.0,310.0400085449219,306.3099975585937,307.0,300.58233642578125,21340800,295.4344985961914,280.3152001953125,0.0,1,0.0,1156.5702123882695,1156.5702123882695
2023-05-10,308.6199951171875,313.0,307.6700134277344,312.3099975585937,305.7813415527344,30078000,296.87549896240233,281.5730001831055,0.0,1,0.0,1176.574723802354,1176.574723802354
2023-05-11,310.1000061035156,311.1199951171875,306.260009765625,310.1099853515625,303.6272888183594,31680200,297.8889984130859,282.8497998046875,0.0,1,0.0,1168.2865525139407,1168.2865525139407
2023-05-12,310.54998779296875,310.6499938964844,306.6000061035156,308.9700012207031,302.5111389160156,19774700,299.0304977416992,284.0069998168945,0.0,1,0.0,1163.9918564606921,1163.9918564606921
2023-05-15,309.1000061035156,309.8999938964844,307.5899963378906,309.4599914550781,302.99090576171875,16336500,300.06349792480466,285.09039978027346,0.0,1,0.0,1165.837811214566,1165.837811214566
2023-05-16,309.8299865722656,313.7099914550781,309.8299865722656,311.739990234375,305.2232360839844,26730300,301.23199768066405,286.1877996826172,0.0,1,0.0,1174.427318290841,1174.427318290841
2023-05-17,312.2900085449219,314.42999267578125,310.739990234375,314.0,308.1080627441406,24315000,302.5094970703125,287.3847998046875,0.0,1,0.0,1182.9415201625948,1182.9415201625948
2023-05-18,314.5299987792969,319.0400085449219,313.7200012207031,318.5199890136719,312.5432434082031,27276000,304.12999725341797,288.6811996459961,0.0,1,0.0,1199.9698089363249,1199.9698089363249
2023-05-19,316.739990234375,318.75,316.3699951171875,318.3399963378906,312.3666687011719,27546700,305.7589965820313,290.00159942626954,0.0,1,0.0,1199.2917171863032,1199.2917171863032
2023-05-22,318.6000061035156,322.5899963378906,318.010009765625,321.17999267578125,315.1533203125,24115700,307.72949676513673,291.45339935302735,0.0,1,0.0,1209.9909196869419,1209.9909196869419
2023-05-23,320.0299987792969,322.7200012207031,315.25,315.260009765625,309.3443908691406,30797200,309.72149658203125,292.6801995849609,0.0,1,0.0,1187.6883923523023,1187.6883923523023
2023-05-24,314.7300109863281,316.5,312.6099853515625,313.8500061035156,307.9608764648437,23384900,310.64549713134767,293.7413995361328,0.0,1,0.0,1182.3764437042435,1182.3764437042435
2023-05-25,323.239990234375,326.8999938964844,320.0,325.9200134277344,319.8044738769531,43301700,311.6999984741211,294.95099975585936,0.0,1,0.0,1227.848140559291,1227.848140559291
2023-05-26,324.0199890136719,333.3999938964844,323.8800048828125,332.8900146484375,326.6436462402344,36630600,312.9814987182617,296.0847998046875,0.0,1,0.0,1254.1064330419463,1254.1064330419463
2023-05-30,335.2300109863281,335.739990234375,330.5199890136719,331.2099914550781,324.9951171875,29503100,314.2639984130859,297.12039978027343,0.0,1,0.0,1247.7772317990768,1247.7772317990768
2023-05-31,332.2900085449219,335.94000244140625,327.3299865722656,328.3900146484375,322.22808837890625,45950600,315.41299896240236,298.2435998535156,0.0,1,0.0,1237.153449472737,1237.153449472737
2023-06-01,325.92999267578125,333.5299987792969,324.7200012207031,332.5799865722656,326.3393859863281,26773900,316.8219985961914,299.419599609375,0.0,1,0.0,1252.9384550683162,1252.9384550683162
2023-06-02,334.25,337.5,332.54998779296875,335.3999938964844,329.1065368652344,25873800,318.32149810791014,300.6817993164062,0.0,1,0.0,1263.562352364434,1263.562352364434
2023-06-05,335.2200012207031,338.5599975585937,334.6600036621094,335.94000244140625,329.63641357421875,21307100,319.58599853515625,301.8473992919922,0.0,1,0.0,1265.5967425842769,1265.5967425842769
2023-06-06,335.3299865722656,335.3699951171875,332.1700134277344,333.67999267578125,327.4188232421875,20396200,320.8374984741211,302.90959899902344,0.0,1,0.0,1257.0825407125228,1257.0825407125228
2023-06-07,331.6499938964844,334.489990234375,322.5,323.3800048828125,317.31207275390625,40717100,321.65649871826173,303.84959899902344,0.0,1,0.0,1218.2790909753553,1218.2790909753553
2023-06-08,323.94000244140625,326.6400146484375,323.3500061035156,325.260009765625,319.1568298339844,23277700,322.30399932861326,304.8501989746094,0.0,1,0.0,1225.3616891727672,1225.3616891727672
2023-06-09,324.989990234375,329.989990234375,324.4100036621094,326.7900085449219,320.6581420898437,22529000,323.13800048828125,305.77579895019534,0.0,1,0.0,1231.1256989875071,1231.1256989875071
2023-06-12,328.5799865722656,332.1000061035156,325.1600036621094,331.8500061035156,325.62310791015625,24260300,324.28200073242186,306.73179931640624,0.0,1,0.0,1250.18837798108,1250.18837798108
2023-06-13,334.4700012207031,336.9800109863281,330.3900146484375,334.2900085449219,328.017333984375,22951300,325.52350158691405,307.6515997314453,0.0,1,0.0,1259.3806716028557,1259.3806716028557
2023-06-14,334.3399963378906,339.0400085449219,332.8099975585937,337.3399963378906,331.0101013183594,26003800,326.80350189208986,308.65379943847654,0.0,1,0.0,1270.8709811451863,1270.8709811451863
2023-06-15,337.4800109863281,349.8399963378906,337.20001220703125,348.1000061035156,341.5682373046875,38899100,328.5085021972656,309.87219970703126,0.0,1,0.0,1311.4074853143354,1311.4074853143354
2023-06-16,351.32000732421875,351.4700012207031,341.95001220703125,342.3299865722656,335.9064636230469,46552000,329.6990020751953,311.03199951171877,0.0,1,0.0,1289.6699194682694,1289.6699194682694
2023-06-20,339.3099975585937,342.0799865722656,335.8599853515625,338.04998779296875,331.7068176269531,26375400,330.6845016479492,311.9609991455078,0.0,1,0.0,1273.5457530279016,1273.5457530279016
2023-06-21,336.3699951171875,337.7300109863281,332.07000732421875,333.5599975585937,327.301025390625,25117800,331.30350189208986,312.84439880371093,0.0,1,0.0,1256.6304795458416,1256.6304795458416
2023-06-22,334.1199951171875,340.1199951171875,333.3399963378906,339.7099914550781,333.33563232421875,23556800,332.5260009765625,313.9819989013672,0.0,1,0.0,1279.799534096472,1279.799534096472
2023-06-23,334.3599853515625,337.9599914550781,333.45001220703125,335.0199890136719,328.733642578125,23146900,333.5845001220703,315.0125988769531,0.0,1,0.0,1262.1307486900919,1262.1307486900919
2023-06-26,333.7200012207031,336.1099853515625,328.489990234375,328.6000061035156,322.43408203125,21520600,333.7184997558594,315.7877990722656,0.0,1,0.0,1237.944556514429,1237.944556514429
2023-06-27,331.8599853515625,336.1499938964844,329.29998779296875,334.57000732421875,328.2920837402344,24354100,333.80249938964846,316.75639892578124,0.0,1,0.0,1260.4355193150377,1260.4355193150377
2023-06-28,334.6600036621094,337.9800109863281,333.8099975585937,335.8500061035156,329.5480651855469,20259500,334.0345001220703,317.6973992919922,0.0,1,0.0,1265.257696709266,1265.257696709266
2023-06-29,334.7099914550781,336.1099853515625,332.6199951171875,335.04998779296875,328.7630615234375,16997000,334.36749877929685,318.6309991455078,0.0,1,0.0,1262.2437639817622,1262.2437639817622
2023-06-30,337.75,342.7300109863281,337.20001220703125,340.5400085449219,334.15008544921875,26832800,334.7654998779297,319.6727990722656,0.0,1,0.0,1282.9264821156462,1282.9264821156462
2023-07-03,339.19000244140625,340.8999938964844,336.57000732421875,337.989990234375,331.64794921875,12508700,334.8949996948242,320.71039916992186,0.0,1,0.0,1273.319722444561,1273.319722444561
2023-07-05,335.0899963378906,341.6499938964844,334.7300109863281,338.1499938964844,331.804931640625,18172400,335.0054992675781,321.75819885253907,0.0,1,0.0,1273.9225089900617,1273.9225089900617
2023-07-06,337.29998779296875,342.989990234375,335.5,341.2699890136719,334.86639404296875,28161200,335.38499908447267,322.94819885253906,0.0,1,0.0,1285.6765592028823,1285.6765592028823
2023-07-07,339.32000732421875,341.7900085449219,337.0,337.2200012207031,330.89239501953125,21214800,336.0769989013672,324.18419860839845,0.0,1,0.0,1270.4189199785053,1270.4189199785053
2023-07-10,334.6000061035156,335.2300109863281,327.5899963378906,331.8299865722656,325.6034851074219,32791400,336.4054977416992,324.9133984375,0.0,1,0.0,1250.1129578067812,1250.1129578067812
2023-07-11,331.0599975585937,332.8599853515625,327.0,332.4700012207031,326.2315368652344,26698200,336.68949737548826,325.46619873046876,0.0,1,0.0,1252.5241039887844,1252.5241039887844
2023-07-12,336.6000061035156,341.6499938964844,335.6700134277344,337.20001220703125,330.8727722167969,29995300,336.9569976806641,326.0649987792969,0.0,1,0.0,1270.3436147739844,1270.3436147739844
2023-07-13,339.5599975585937,343.739990234375,339.0199890136719,342.6600036621094,336.2303466796875,20567200,337.37549743652346,326.8069989013672,0.0,1,0.0,1290.9132026464204,1290.9132026464204
2023-07-14,347.5899963378906,351.42999267578125,344.3099975585937,345.239990234375,338.7619323730469,28352700,337.77049713134767,327.6035986328125,0.0,1,0.0,1300.632862639398,1300.632862639398
2023-07-17,345.67999267578125,346.989990234375,342.20001220703125,345.7300109863281,339.2427062988281,20363900,337.6519973754883,328.43019897460937,0.0,1,0.0,1302.4789323630496,1302.4789323630496
2023-07-18,345.8299865722656,366.7799987792969,342.1700134277344,359.489990234375,352.7444763183594,64738600,338.50999755859374,329.51179870605466,0.0,1,0.0,1354.3173106085603,1354.3173106085603
2023-07-19,361.75,362.4599914550781,352.44000244140625,355.0799865722656,348.417236328125,39732900,339.3614974975586,330.4003985595703,0.0,1,0.0,1337.703372914362,1337.703372914362
2023-07-20,353.57000732421875,357.9700012207031,345.3699951171875,346.8699951171875,340.361328125,33778400,340.0269973754883,331.16479858398435,0.0,1,0.0,1306.7736284162982,1306.7736284162982
2023-07-21,349.1499938964844,350.29998779296875,339.8299865722656,343.7699890136719,337.3194274902344,69405400,340.229997253418,331.9001983642578,0.0,1,0.0,1295.0948834079984,1295.0948834079984
2023-07-24,345.8500061035156,346.9200134277344,342.3099975585937,345.1099853515625,338.63433837890625,26678100,340.7344970703125,332.5561981201172,0.0,1,0.0,1300.1430913855675,1300.1430913855675
2023-07-25,347.1099853515625,351.8900146484375,345.07000732421875,350.9800109863281,344.3941345214844,41637700,341.85349731445314,333.3735986328125,0.0,1,0.0,1322.2574131937938,1322.2574131937938
2023-07-26,341.44000244140625,344.6700134277344,333.1099853515625,337.7699890136719,331.4320373535156,58383700,342.0134963989258,333.94959838867186,0.0,1,0.0,1272.4909053157196,1272.4909053157196
2023-07-27,340.4800109863281,341.3299865722656,329.04998779296875,330.7200012207031,324.51434326171875,39635300,341.75699615478516,334.3747985839844,0.0,1,0.0,1245.9312770452032,1245.9312770452032
2023-07-28,333.6700134277344,340.010009765625,333.1700134277344,338.3699951171875,332.0208435058594,28484900,341.9229965209961,334.90739868164064,0.0,1,0.0,1274.751326118903,1274.751326118903
